recommendation,use,authors,title,year_publication,journal,country,study_design,aim,relation_to_research,typ_ds,type_of_dms,ICD,medical_condition,patient_preferences_incorp,assesment,assess_patient_preferences,description_patient_pref,type,type spec,tools_techniques_frameworks,involv,patient_involvement,,stakeholders_involved,a,design_reatement_options,evaluate_balance_quantify,findings_related_ebq,ua,user_acceptance_tested,outcomes,limitations,implications_future,benefits,
1,1,Simes RJ,Application of statistical decision theory to treatment choices: implications for the design and analysis of clinical trials,1986, Statistics in Medicine,Australia,Research Article,Aim of the studyTo explore the application of statistical decision theory to treatment choice sin cancer,The article compares two methods of utility assessment for decision analysis which both incorporated patient preferences  ,1,decision analysis,2,ovarian cancer,"Yes, about utility of health situations ",specific,1-For for symptom-free survival: 'standard gamble' and certainty equivalence method 2- quality of life in various states of health: time trade-off method,"With utility analysis, where utilities represented the patient's preferences for different health outcomes",d,d,Decision tree,s,scoring,2,"Yes, preferences of medical doctors were also elicited",,1-treatment with an alkylating agent 2- treatment with combination of alkylating agent  and chemotherapy  3-no specific anti-cancer therapy,threshold utility analysis,"As well as decision analysis, in this paper author conducted a threshold utility analysis and found that two methods results were in line with each other.",0,No,The results showed the process of utility assessment can be greatly simplified by using  threshold utility analysis,small numbers of selected individuals,larger studies should be conducted,decision theory enables key factors in the decision to be identified. In this way research  efforts aimed at improving the clinical decision can be focused on those areas,
1,1,"Douzdjian V, Ferrara D, Silvestri G",Treatment Strategies for Insulin-Dependent Diabetics With ESRD: A Cost-Effectiveness Decision Analysis Model,1998,American Journal of Kidney Diseases,USA,Research article,to conduct a clinical decision analysis focused on patients with type I diabetes and end-stage renal disease (ESRD,They incorporated patient preferences in the the decision analysis,1,decision analysis model,16,end-stage renal disease (ESRD),yes,i,Direct Interviews ,They first asked patients if they would accept the surgery option if the risk of death from the operation or from complications was 5%. This risk was increased until the patient was indifferent between surgery and dialysis. Then they used the accepted risk in a formula to calculate utility. At the end they calculated expected cost per quality-adjusted year.,d,d,They used cost per quality-adjusted year as the measure of outcome (decision tree),w,weighting,3,"Patients, healthcare providers and institutions",,dialysis kidney-alone transplant from a cadaver (KA-CAD)  kidney-alone transplant from a living donor (KA-LD) simultaneous pancreas kidney (SPK) transplant,Standard Reference Gamble method,After quantifying patient preferences they noticed there is huge heterogeneity between answers ,0,No,"SPK transplantation remained the optimal strategy after varying survival probabilities, costs, and utilities over plausible ranges by means of one-way sensitivity analysis",-reported cost figures usually represent charges rather than true costs - patients who had already experienced the outcome states studied -varying degrees of severity in diabetic complications -Standard Reference Gamble method assumes that a patient's attitudes towards outcomes and length of life remain constant,"-Conducting prospective studies - Longitudinal studies tracking patients over an extended period  -prioritize patient-centered outcomes research -Utilizing advanced analytical methods, such as simulation modeling or machine learning, to analyze complex decision scenarios", -,
1,1,"Montgomery AA, Harding J and Fahey T",Shared decision making in hypertension: the impact of patient preferences on treatment choice,2001,Family Practice,UK,Research Article,to investigate the impact of patient preferences on treatment recommendations for hypertension using individual decision analysis,It uses patient preferences to investigate if it differs the treatment suggestion which could be given from existing guidelines,1,decision analysis,11,hypertension,face to face interviews,q,"The health states (outcomes) from the decision tree were described in bullet-point format on laminated cards, and the patient was asked to rank them in order of preference",standard gamble method,d,d,Ranking utility of possible outcomes (decision tree),sur,scoring,1,patient,,treatment' and 'no treatment',Standard Reference Gamble method,By incorporating patient preferences in decision analyses suggested treatment has changed for nearly half of the patients,0,No,Individual patient preferences have a substantial impact on the proportion of patients for whom drug treatment would be recommended.,"1-Over one-third of patients invited were either unwilling or unable to participate, and of those who attended 19% were unable to complete the utility assessment interview. (This response rate indicates that this type of decision aid may not be suitable for all patient groups_) 2- a balance must be achieved between a full decision tree containing all possible outcomes and keeping manageable the number of health states that the patient must assess 3-it is not possible to exclude interviewer bias as interviews are done by 2 researchers 4- study constraints allowed only collection of repeat prescription data as a measure of medication adherence","To test if using a utility assessment software which requiring minimal input from researchers, removes bias effects of researchers.", -,
1,1,"Knight SJ, Nathan DP, Siston AK, Kattan MW, Elstein AS, Collela KM, Wolf MS, Slimack NS, Bennett CL, Golub RM",Pilot study of a utilities-based treatment decision intervention for prostate cancer patients,2002,Clinical Practice Guidelines,USA,Research Article,to evaluate a shared decision-making approach to in the context of localized prostate cancer care.,Their model uses patient preferences as one of major components,1,decision analytic model,2,prostate cancer,"Yes, about utilities of for various possible prostate cancer-related  health states, including impotence, incontinence, watchful waiting, combined incontinence and impotence",specific,standard gamble technique in interview,"First Patients were asked to imagine various health states and make choices between different treatment options based on their preferences. Then these utilities along with possible complications (e.g., incontinence, impotence) were used to calculate QALEs",s,mar,Markov model,w,weighting,2,"Yes, urologist",,"surgery,  radiation therapy  watchful waiting",quality-adjusted life expectancies (QALEs),1-The researchers find Inconsistent  utilities: the development of combined sexual and bladder  dysfunction had a better utility than the development of either dysfunction alone! 2- the results of model was inconsistent with the doctor's  recommendations for half of patients,"1,-1","Yes,( from perspective of doctor) negative",They understood Future refinements of both the utility assessment  exercise and decision analytic model may be needed before the feasibility of the model in the clinical setting can be determined,1-the decision analytic model did not consider several widely used treatments for simplicity reasons. 2-the probabilities for the progression of disease and the probabilities for complication rates associated with treatments were based on a literature review published in 1993 (very old),1-Future research is needed to evaluate a decision analytic model that incorporates these recent data 2-Further research is needed to understand best utilities assessment method (using prompts versus using a nondirective approach), -,
1,1,"I Pell, J Dowie, A Clarke, A Kennedy, V Bhavnani",Development and preliminary evaluation of a clinical guidance programme for the decision about prophylactic oophorectomy in women undergoing a hysterectomy,2002,Qual Saf Health Care ,UK,Original article,to develop and evaluate a decision analysis based and computerised clinical guidance programme (CGP) that provides patient specific help on prophylactic oophorectomy to reduce risk of ovarian cancer,patient preferences are integrated into Markov models to provide personalized results ,2,Computerised clinical guidance programme,2,Ovarian cancer ,"risk tolerance, health state evaluations using standard ""time trade off"" method → ""women asked to say how many years of normal health she would be prepared to give up in oder to be free of a particular combination of factors affecting her health suuch as reduced mobility and moderate pain""",s,"direct elicitation, population surveys ",preferences (risk factors & health state valuations) incorporated in Markov models that evaluated the benefits of undergoing prophylactic oophorectomy ,s,mar,Markov models integrated into Decision analytical framework   ,,"preferences elicitation, preliminary testing & piloting ",2,"Gynecologists, patients ",,prophylactic oophorectomy,/,/,1,preliminary testing and preliminary piloting,Development of a model (CGP) that employs decision analytic techniques to model the consequences of undertaking prophylactic oophorectomy or not during a total abdominal hysterectomy ,"CGP reported does not incorporate costs -'the Model (CGP) is unusual in giving a very explicit guidance statement and this appeared to be problematic, especially for women who received advice that was discrepant with their previously held intentions""", -unterstand better the optimal timing for decision aids such as the CGP so that they can be used to their fullest potential as a readily available third option  -development of a more user friendly interface,Advantage of the data structure used in the CGP is that it can easily be updated to reflect new research findings → programme is dynamic rather than static,
1,1,"Thomson R, Robinson A, Greenaway J, Lowe P; DARTS Team",Development and description of a decision analysis based decision support tool for stroke prevention in atrial fibrillation,2002,Quality & Safety in Health Care,UK,Research Article,"To develop a computerized decision support tool, building upon a previous decision analysis, which would engage individual patient preferences in reaching a shared decision on whether to take warfarin to prevent stroke",This research explains how they developed a computerized decision support tool and explains how they incorporated patient preferences,2,prototype Decision aid,11,atrial fibrillation,"How they see burden of each of these: mild stroke, severe stroke, stomach bleed, and treatment with warfarin",sg,Standard gamble exercises,By asking patients series of four hypothetical questions and using an iterative procedure to reach the point of indifference. ,s,e,"Several methods were piloted including bar charts, pie charts, ""smiley faces"", and non-representational proportionate figure",w,weighting,3,"Yes, medical experts interviewed in different stages of development",,treat or do not treat with Warfarin,Markov decision analysis,Markov decision analysis done for finding optimal treatment choice with considering Risk factors for each patient and their preferences with,1,yes,"it showed that it is feasible to take elderly patients  through a computerized decision support tool, but it requires  time and expertise to use.", -,"1-To do an efficacy study to assess whether the tool can work in ideal circumstances 2-Look into if tensions exist between individually informed treatment decisions and, public health or health service goals 3- to explore why the decisions patients actually make will not necessarily concur with the ""optimal"" decision yielded by the model",decision conflict appeared to be reduced between both patients and GP,
1,1,Sommers et al.,Decision Analysis Using Individual Patient Preferences to Determine Optimal Treatment for Localized Prostate Cancer,2007,merican Cancer Society,USA,research article,aimed to determine the optimal treatment for localized prostate cancer based on individual patient preferences,"demonstrates a balanced and quantified method of incorporating patient preferences into the decision-making process, providing personalized treatment recommendations based on both clinical features and individual preferences",1,model,2,prostate cancer,"Gleason score, PSA, self-reported health, and the presence of ED, urinary incontinence, and/or bowel discomfort, anxiety under watchful waiting and variations in disease progression, side effects, discount rate, surgical mortality, and short-term treatment disutility in sensitivity analyses","s,i",surveys and interviews,"The study presented a decision model for localized prostate cancer that incorporated the range of preferences among a sample of men recently diagnosed with the disease. The algorithm used a survey to gather information on patient preferences and incorporated them into the decision-making process. The model focused on individualized patient preferences rather than using a hypothetical ""average patient"" concept. The objective was to determine the clinical scenarios for which variations in patient preferences lead to different optimal treatments and those for which the patient&apos;s clinical features alone are sufficient to dictate the optimal treatment. The study found that the optimal treatment often depends on individual patient preferences, not merely the clinical scenario. Tradeoffs between quantity and quality of life, as well as among different side effects, often determine which treatment would be optimal for a specific patient.",s,mar,markov model,q,"the patient was involved in the decision-making process through a survey that was conducted to determine their preferences. The survey included questions on the patient&apos;s age, prostate-specific antigen (PSA), and tumor grade, as well as their preferences for different treatment options and the importance they placed on various treatment outcomes. The responses from the survey were then used to develop a decision model that took into account the individual patient&apos;s preferences when determining the optimal treatment. The model also considered the patient&apos;s clinical features, such as age, PSA, and tumor grade, to ensure that the treatment recommendation was appropriate for their specific situation.",2,"clinicians, including urologists and radiation oncologists, as well as patients",,"The decision model presented in the study compared four treatments for localized prostate cancer: radical prostatectomy (RP), external beam radiation (EB), brachytherapy (BT), and watchful waiting (WW). The study analyzed the potential appropriateness of each treatment option for a particular clinical scenario based on individual patient preferences.",survey of 156 men with prostate cancer to elicit their preferences in quality-adjusted life years (QALYs) for different health states related to disease and side effects; lity function to quantify the impact of different health states and side effects on quality-adjusted life years," patient preferences were critical in determining treatment for low-risk cancers (Gleason score ≤6, PSA ≤10 ng/mL) and for patients aged 75 years and older;  30% of the patients in the sample had a different optimal treatment than the average patient when using average preferences; ",0,no,"optimal treatment for localized prostate cancer often depends on individual patient preferences;  findings indicated that using average preferences led to suboptimal therapy for 30% of the patients in the sample, resulting in a significant loss of quality-adjusted life expectancy; emphasized that tradeoffs between quantity and quality of life, as well as among different side effects; treatment decisions for patients with localized prostate cancer should be crafted in response to individual preferences","limited set of clinical scenarios, specifically age, prostate-specific antigen (PSA), and tumor grade; does not consider combination therapies; does not include obstructive/irritative urinary symptoms after radiation; study sample consists of men recently diagnosed with localized prostate cancer; does not explicitly address user acceptance testing or outcomes related to the acceptance","validating the findings of the study in diverse patient populations and clinical settings; explore the incorporation of additional clinical factors, such as comorbidities, disease progression, and treatment history; include user acceptance testing and implementation studies; evaluate the long-term outcomes of treatment decisions; comparative effectiveness analyses to compare the outcomes of treatment decisions based on individual patient preferences with those based on traditional decision-making approaches; explore the integration of patient decision aids or support tools that facilitate the incorporation of individual patient preferences into the treatment decision-making process","allow for personalized treatment decisions based on individual patient preferences; facilitate the decision-making process for patients facing difficult treatment choices;  allow for the consideration of tradeoffs between quantity and quality of life, as well as among different side effects, in determining the optimal treatment for a specific patient; emphasizes the potential benefits of using an impartial, evidence-based decision model ",
1,1,Nananda F. Col,Using Internet technologies to improve and simplify  counseling about menopause: The WISDOM website,2007,Maturitas,USA,Research Article,To introduce a web based decision aid and showing its importance,"This is a very incomplete article. It doesn't describe how the aid works thoroughly. However, this a article about a decision aid which incorporates patient preferences",2,Web based decision aid,16,menopause,"heart disease, stroke, blood clots, and breast cancer",specific,web-based decision support tool ,"model translates relative risks of treatment into absolute risks, and a database of menopausal treatments that are accessed via an interactive symptom/treatment chart that can be sorted by treatment type, symptom concerns, and efficacy",s,mar,embedded markov Model,-, -,1,No,,hormone therapy no hormone therapy,Multi-level explanations,This tool translates relative risks of treatment into absolute risks,1,"Yes, Positive","WISDOM was associated with patients feeling adequately informed, having as much input as they wanted in the decision, and feeling more confident in knowing their own risks",1-not all populations have Internet access so this limits usability of this decision aid 2-2- recruiting study participants for studies examining the impact of web-based interventions presents more hurdles because of consent and privacy protection, -,As this is a web based tool it can be updated easily with latest medical information,,no incorporation of patient preferences on individual level
1,1,"Clare L. Emnett, Alan A. Montgomery ",Decision-making about mode of delivery after previous caesarean section: development and piloting of two computer-based decision aids,2007,Health Expectations ,UK,Research paper ,to develop and pilot 2 computer-based DA's to assist women with decision making about delivery mode after previous caesarean section (CS),patient preferences (utility assessment exercise to rate various health outcomes) used to calculate an individualized recommendation for the most suitable mode of delivery  ,2,Computer based DA ,18,caesarean section," -Preferences regarding mode of delivery (VBAC, elictive CS, emergency CVS) -Preferences on how bad various health complications would be personally, if they occured to herself or her baby",skala,utility assessment  -graphical rating scale from 0-100,"decision analysis program:  individual recommendation for the mode of delivery calculated by summing the woman's utilities for the various possible health outcomes for each delivery method, weighted according to the estimated probabilities of those outcomes",a,e, sum of the woman's utilities for various possible health outcomes,s,patients rated health outcomes using a graphical rating scale to express their preferences ,2,Patients & Physicians,,VBAC or repeated elective CS,graphical rating scale from 0-100 to quantify preferences  ,/,1,pilot testing ,2 DA's were developed and were tested for user acceptance ,piloting session was only conducted with a small number of participants which means it was not feasible to employ a maximum variation sampling strategy to ensure the inclusion of women from a diverse range of socio-demographic backgrounds,need for a controlled randomized trial to evaluate the effectiveness and cost-effectiveness of the decision aids on a larger scale ,study reports the development and piloting work required to successfully create a new patient decision aid ,,
1,1,"Büyükdamgaci-Alogan G, Elele T, Hayran M, Erman M, Kiliçkap S",A decision-analytic model for early stage breast cancer: lumpectomy vs mastectomy,2008,journal Neoplasma ,Turkey,Research article,to construct a decision model that incorporated patient preferences over differing health state prospects,Their decision model incorporates patient preferences,1,Decision analysis model,2,Breast cancer,"Yes, about utility of each health situation",skala,Direct Rating Technique (rating from 0 to 100),"The utility of each health situation were elicited, then by multiplying it in expected years of life calculated by Markov model Quality Adjusted Life Years (QALY) is obtained",s,mar,QALY - Markov model,w,weighting,1,No,,lumpectomy  mastectomy,Multi Attribute Utility Model was developed and used for evaluation of extracted utilities,"MAUM results matched global ratings for six health states but not for the other six. The analysis found high correlation between MAUM and global ratings, especially for health states with no evidence of disease. However, as health states worsened, consistency of results decreased",0,No,"The results showed that, if the subject had mastectomy, mean value for the quality adjusted life years gained was 6.42; on the other hand, if the preference was lumpectomy, it was 7.00 out of a possible 10 years.","1-In this study seven basic health states were designated. But in real life, there are many more health states 2-The study was conducted with a sample population of female university students so actual utilities rated by real cancer patient could be different ",Authors said further research about the  optimal modalities for promoting patients' participation in  medical decision making will be helpful to design   regulations about patients' rights,The results of study showed decision aid can be used in training physicians' judgment on the complexities of the  decision making and to improve chances of making a good treatment decision.,,
1,1,Smith et al.,A decision aid for intensity-modulated radiation-therapy plan selection in prostate cancer based on a prognostic Bayesian network and a Markov model,2009,Artificial Intelligence in Medicine,USA,research article,develop a decision aid that helps physicians select the best intensity-modulated radiation therapy plan for prostate cancer patients,decision aid,2,demonstrating a method that incorporates patient preferences into medical algorithms and models,2,prostate cancer,"urinary difficulty, bowel problems, and metastatic cancer",l,literature,"The algorithm uses a multiobjective optimization to generate a set of treatment plans that span the range of possible dose distributions. The Bayesian network provides probabilities for outcomes related to treatment of the tumor and for each of the outcomes related to normal tissue. The Markov model is used to incorporate patient preferences for outcomes and to determine the optimal treatment plan for a particular patient. The model is the first decision aid in IMRT to combine the major dosimetric parameters of a treatment plan with clinical results, physician experience, and patient preferences.",s,bay,Bayesian network,,"The method reported in the paper involves incorporating patient preferences into the decision-making process. The decision model intends to determine which of several RT treatment plans is preferable for a particular patient. The information available to choose between competing IMRT treatment plans includes clinical trials designed to provide outcome probabilities for a selected set of variables, retrospective studies which seek to determine variables predictive of treatment outcome, and information from experts in the field. Physicians have a comprehensive view of the entire disease process, including some appreciation of the likelihood of different outcomes for a patient.",2,"physicians, physicists, and dosimetrists, patients",,Markov model evaluated with a cohort simulation to rank treatment plans based on quality-adjusted life expectancy ,"literature, mcda for balancing", -,0,"no, but method was evaluated using cohort simulation approach","he model was able to accurately predict the expected outcomes of different treatment plans, including local tumor control, regional spread, distant metastases, and normal tissue complications resulting from treatment . The model was also able to incorporate patient preferences for different health outcomes and complications, allowing for the calculation of quality-adjusted life expectancy for each treatment plan",model assumes that complications occur at the end of the 2nd year of the simulation and persist throughout the patient's lifetime; effects of complications are neglected for patients with metastatic cancer; odeling a clinical study from data presented in the literature has limitations; may not be directly generalizable to other cancer types or treatment modalities; not report specific testing or evaluation of user acceptance ,"ocus on refining the modeling of treatment-related complications to better capture the timing, severity, and impact of complications on patient outcomes; validating the decision-analytic model in diverse patient populations and treatment settings; explore the usability and acceptability; comparing the decision-analytic model with other decision support tools; explore the adaptation and extension of the decision-analytic model to other cancer types and treatment modalities",model incorporates patient preferences for different health outcomes and complications; ntegration of clinical and expert knowledge; multi-attribute decision theory to balance multiple objectives; Sophisticated ranking of treatment plans; Sophisticated ranking of treatment plans,,
1,1,"Julius Bishop, David Ring ",Management of Radial Nerve Palsy Associated With Humeral Shaft Fracture: A Decision Analysis Model,2009,Journal of Hand Surgery,USA,Scientific article ,to better understand the determinants of optimal management strategy for radial nerve palsy associated with a humerus fracture using expected-value decision analysis ,utility values derived from a questionnaire are incorporated into the algorithm to help guide the choice between observation and early surgery ,1,expected value decision analysis ,8,Radial nerve palsy associated with humerus shaft fracture,"preferences between early surgical intervention vs initial observation for radial nerve palsy  eg. Ratings with respect to best and worst possible result "" Your nerve recovers completely on its own within 6 to 12 months of the injury, without any treatment or surgery""",q,questionare completed by subjects without a history of humerus fracture and radial nerve palsy to determine utility values & by orthopedic residents ,"the utility values derived from the questionnaire were used in a decision tree analysis to evaluate the different management strategies "" Per convention, utility data were placed to the right of the terminal nodes, and probability data were placed under the terminal nodes""",d,d,"decision tree, fold back analysis to identify the optimal strategy  "" this involved multiplying each outcome utility by its associated probability, providing an ""expected value"" for each clinical end point. The expected values for each end point can then be summed for a given management strategy and the ultimate expected values of the different strategies compared.",q,questionnaire ,2,subjects ages ranged from 18 to 82 years without a history of arm fracture & orthopedic residents ,,Initial observation vs early surgical intervention for humerus fracture associated with nerve palsy,Rating preferences in questionnaire  , -Initial observation was the preferred strategy  - early surgery was preferable when the probability of recovery after observation was less than 40% or the utility value for successful early surgery was high  ,0,/,"Initial observation was the preferred strategy, however early surgery may optimise outcome in cases were likelihood of spontaneous recovery is low, or when the patient strongly prefers surgery ", -Utility is a subjective value which can be difficult to operationalize and quantify. In this study a likert scale was used which is less rigorous than the standard reference gamble  -individuals completing the questionnaires may not have had deep insight into the subtleties and implications of the various disease states and treatments ,to focus on methods of making an early distinction between nerves that will recover spontaneously and those that will not in this clinical scenario ,results of the study may help us to better understand the decision between initial observation and early surgical exploration ,,
1,1,Tervonen ET AL.,A stochastic multicriteria model for evidence-based decision making in drug benefit-risk analysis,2010,Statistics in Medicine,Nethderlands,research article,construct a stochastic multi-attribute model for the therapeutic group of antidepressants using data from a published placebo-controlled trial,explores the use of scenario-based ordinal preferences in the stochastic multicriteria model for drug benefit-risk analysis,1,model,6,depression,"Nausea, Anxiety, Efficacy, and Insomnia",l,literature,stochastic multi-attribute model,m,smcda,stochastic multi-attribute model,-, -,3,"health authorities, prescribing physicians, pharmacists, reimbursement policy makers, and employees of insurance companies, patients",,bar plots ranked by the accptability indices, -, -,0, -,"The main outcomes of the study are the trade-offs among the considered alternatives in terms of safety and efficacy. The study used a stochastic multicriteria model to analyze the benefits and risks of different drugs and their impact on patients&apos; health status. However, the authors caution that the results should be interpreted with care and that additional evidence from multiple studies should be taken into account for more comprehensive decision making.","relevant only with respect to the data within the trial and may not capture comprehensive benefit-risk profiles;preferences were elicited from a single expert, which might not represent the consensus among a larger group of experts; relative differences in safety and efficacy may not be large enough to significantly change a patient's health status"," evidence from all existing studies should be taken into account, rather than just a single trial. Future research should consider the model together with evidence synthesis methods, such as network meta-analysis, as it allows taking into account all evidence simultaneously;  model is relevant only with respect to the data within the trial, and for decisions depending on comprehensive BR profiles, it can serve only as a starting point for further discussion; preferences were elicited from a single expert, and might not represent consensus among a larger group of experts.","ability to include the sampling variation that is inherent in criteria measurements based on clinical trials, which allows for a more accurate assessment of how much different drugs differ on selected criteria; possibility to characterize typical trade-offs supporting a drug benefit-risk profile without knowing or eliciting the exact numerical preferences beforehand, which lowers the effort required to apply the modefferent situations and increases the tl in diransparency of the decision-making process",,
1,1,"Michelle Cunich, Kirsten Howard ",Integrating Evidence and Individual Preferences Using a Web-Based Multi-Criteria Decision Analytic Tool,2011,Patient ,Australia,Original Research Article ,"to introduce a new decision support tool, Annalisa (AL) for prostate cancer screening using MCDA template ",individual preferences are combined with clinical evidence to make an informed decision about prostate cancer screening,2,tool that calculates scoring based on weighted patient preferences and clinical evidence ,2,prostate cancer screening , -preferences on undergoing prostate-specific antigen testing  -preferences for benefits of prostate cancer screening as relative or absolute risk reduction,i,elicited in patient interviews by GP who used the tool  ,"tool uses a simple expected value algorithm to calculate scores for each option by considering the individual's preferences for different criteria as importance weights, and the evidence of the performance of each option on each criterion ",m,mcda,Annalisa (AL) web based decision support template uses MCDA,i, -interviews to elicit preferences,3,"GP, researchers, patients ",,whether an individual should undergo prostate-specific antigen (PSA) testing ,"quantified by GPs, where GPs adjusted the importance of different criteria by moving the sliders ",/,1,yes,introduction of AL that integrates patient preferences with evidence ," -low response rate from target GP sample  →full evaluation of ALProst would require a larger, representative sample of GPs -concerns that in real consultation GPs would be reluctant to adjust the evidence ratings to make ALProst more relevant to individual patients, primarily because of fears about being liable for doing so", -further evaluation of tool with a larger and more diverse group of healthcare providers, -structured and transparent method provided that incorporates patient preferences into medical decision making ,,
1,1,"J B Jones, Walter F Stewart",Shared decision making: using health information technology to integrate patient choice into primary care ,2011,TBM,USA,Research paper ,to evaluate a shared decision making process to manage risk of cardiovascular disease in primary care,patient preferences are incorporated into a computational model ,1,model,11,Cardiovascular Disease,treatment preferences to manage cardiovascular disease risk factors ,specific,Preference based Care Tool (PBCT),patients can select treatment options or combination of treatment options. An algorithm then evaluates each choice and calculates the net risk reduction benefit considering the patients risk profile  → then a menu is generated ranking all of the patients choices by the net risk reduction ,s,e,"HHQ, relative risk calculator & PBCT",tool,Patients used PBCT to choose their preferred options for managing cardiovascular disease risk faktors ,2,patients & physicians ,,"Medication, Nicotine replacement, dietary changes, Self-Change Counseling, to do nothing ",/,medication is most effective intervention but many patients prefer lifestyle changes ,1,yes,SMD integrated into primary care workflow,/,needs to be bettered and further assessed to be implemented in the real world ,better patient physician communication & better decision making regarding cardiovascular disease ,,
1,1,"Donna Rochon, Simon N. Whitney ",Elderly patients' experiences using adaptive conjoint analysis software as a decision aid for osteoarthritis of the knee,2012,Health Expectations ,USA,Research paper ,to obtain insight into the experiences of elderly patients using adaptive conjoint analysis software to explore treatment options for their knee osteoarthritis,model that was studied incorporates treatment preferences for managing knee osteoarthritis ,2,adaptive conjoint analysis software,15,Osteoarthritis of the knee,"various treatment attributes ( pills, creams, injections), frequency, associated risks, costs ",cj,adaptive conjoint analysis (ACA),"patients were asked to rank the desirability of various treatment attributes, and the adaptive conjoint analysis software used these rankings to present paired comparisons of treatment options to determine which attributes the patients valued most  -based on importance ranking ACA software predicts the most suitable treatment option for each individual ",m,cj,adaptive conjoint analysis,tool,defined their preferences on the computer ,2,"elderly patients, researchers",,"pills, cream, injection, exercise ",adaptive conjoint analysis software ranks the most important treatment attributes based on the preferences of the patients ,participants agreed with the predicted preferred treatment aboutu ⅔ of the times ,1,yes→ elderly patient's discussed their experience with the ACA software,insight into the experiences of elderly patients using the ACA-software was gained,limited computer literacy among elderly patients caused confusion,inclusion of more relevant treatment options,demonstrated potential of ACA to align treatment options with patient preferences,,
1,1,"Federer AE, Taylor DC, Mather RC 3rd",Using evidence-based algorithms to improve clinical decision making: the case of a first-time anterior shoulder dislocation,2013,Sports Medicine and Arthroscopy Review,USA,Research Article,To discuss the evolution of clinical decision making and introduce a decision model for treating first-time anterior shoulder dislocation,Their decision model includes patient preferences,1,Decision model,22,Orthopedic (specifically addressing anterior shoulder dislocation),Yes. About utility of each state,"l,e","Literature review, expert opinion (yet they only tested the developed model internally.)","Patients with a stable shoulder, achieved either through natural history or following primary arthroscopic stabilization, were assigned  a higher utility than those with an unstable shoulder while those having a stable shoulder achieved through revision  stabilization surgery have a score in between the these two. Also, they consider Disutility for Primary stabilization and Revision surgery by reducing WOSI score of patient for a duration of these treatments",s,u,For calculating utility they used Western Ontario Shoulder Instability Index (WOSI)  which is  a disease-specific quality of life measure  ,s,scoring,2,Yes,,Surgical Stabilizations Nonoperative Stabilizations,They used Markov Monte Carlo simulations to predict outcomes,The model enabled customized decision making which likely to improve satisfaction and adherence  ,0,No,"Improved decision making through a personalized approach, potentially leading to better patient outcomes and satisfaction", -,"further validation and refinement of decision models in clinical practice, exploration of patient outcomes",Tailored treatment decisions that potentially reduce recurrence and improve quality of life for patients with shoulder dislocation,,
